id,text
0,Malham
1,Thomas Bromwich
2,Donnatal
3,Nitrocot
4,Uqbah ibn Aamir
5,St. Innocent I
6,Needing You...
7,Colourful
8,Baruch S. Blumberg
9,Freeze Me
10,Strong Medicine
11,Seaforth
12,A Muralha
13,Heemskerk
14,Going to California
15,Fairchild Corporation
16,Das Alibi
17,Brent W. Jett
18,Narrandera
19,Venezianische Scharade
20,Strathfield
21,Trigon: The Legend of Pelgidium
22,NPH Purified Insulin
23,Kidlington
24,The Wedding
25,Muhammad Ali
26,Behind Bars
27,Wilhelm Blaschke
28,Ceporacin 20
29,Après la réconciliation
30,Clomid
31,Alice Fletcher
32,Rita Levi-Montalcini
33,Kaochlor S-F 10%
34,Colchester
35,Touched by an Angel
36,Amphojel 500
37,Glucophage
38,Buttermere
39,Avista Corporation
40,Darvocet-N 100
41,Dark Targets
42,Revolution #9
43,Maurice Allais
44,Roxicodone Intensol 12
45,Ocupress
46,Weingarten Realty Investors
47,Meriwether Lewis
48,Kentford
49,Kazimierz Zarankiewicz
50,Harvey Keitel
51,Harold Eugene Edgerton
52,Culp Inc
53,Maria Fisher
54,Tina Turner
55,Leende
56,Genotropin Miniquick
57,James Miley
58,Adieu Babylone
59,No Quarto da Vanda
60,Novahistex 15
61,Bernhard Neumann
62,California Girls
63,The Modern Antiquarian
64,Actifed Plus Extra Strength Caplets 26
65,Storrington
66,Patti Page
67,Paul Bachmann
68,Seraglio
69,Guyana
70,Die Verwegene - Kämpfe um deinen Traum
71,Novolin ge Ultralente
72,Loin de Syracuse
73,Duricef
74,AKBeta
75,Joachim Jungius
76,Pharmaflur 1.1
77,Sa tree lex
78,Pierre Bouguer
79,Don Budge
80,Eulexin
81,Nadopen-V 400 13
82,American McGee's Alice
83,"Hilb, Rogal & Hamilton Co."
84,Dilantin-125
85,Lasix
86,Alka-Seltzer Plus Allergy Medicine Liqui-Gels 13
87,Leontyne Price
88,Overbury
89,Juan de Ortega
90,Sunamerica Cap Tr Ii
91,Kelly Miller
92,Nadan Pennum Natupramaniyum
93,American Tragedy
94,Our Hero
95,American Business Products Inc.
96,Roybridge
97,Oxy Night Watch Maximum Strength Lotion
98,Novo-Methacin
99,Storzolamide
100,Susano
101,Levi Strauss
102,Losec
103,2000 + 1 Shots
104,Hollingbourne
105,Paul Guldin
106,Pre-Paid Legal Services Inc.
107,Natacyn
108,Cornerstone Strategic Return
109,Nicholas Murray Butler
110,The Bone Yard
111,PYtest
112,Fibrepur
113,BassMaster
114,Who's Afraid of the Ten Commandments?
115,Nairn
116,Jack the Dog
117,Maartensdijk
118,Move
119,Dunbar
120,Buckden
121,Postmark Paradise
122,Je li jasno prijatelju?
123,The Lyricist Lounge Show
124,John Dee
125,Mulvidren-F
126,CL&P CAP L P
127,Hollywoodrymlingar
128,Lasswade
129,The Ride
130,Didrex
131,Novo-Glyburide
132,Richard J. Roberts
133,Apo-Tetra
134,Alora
135,The Prince and the Pauper
136,BJS Wholesale Inc
137,Nicorette
138,"The Spain Fund, Inc."
139,More Dogs Than Bones
140,Abu Musa al-Ashari
141,Rob Lowe
142,Steven Hawking
143,John Hunt Morgan
144,Spike
145,Cleomedes Cleomedes
146,"Aliens in the Wild, Wild West"
147,Desquam-X 2.5 Gel
148,Public Steers Tr
149,Bridget Fonda
150,Somnol
151,Ricobid 10
152,Henri Matisse
153,Robert Redford
154,Frannie Lew High
155,Little Insects
156,Wie angle ich mir einen Müllmann?
157,Dimacol Caplets 132
158,Erica
159,Arthritis Pain Formula
160,Priddy
161,Frankenberg
162,Anarchy Monkey
163,Alfonso García Robles
164,The Investigation Must Go On
165,Lithizine
166,Intimité
167,Public Service Enterprise Group Inc.
168,Bangkok Dangerous
169,Talkin' Shop
170,Ulf von Euler
171,Jan Christian Smuts
172,Alkmaar
173,Fortovase
174,Long Eaton
175,Ludwig Schläfli
176,Thornton (West Yorkshire)
177,Keralyt
178,"The France Growth Fund, Inc."
179,Search for a Supermodel
180,Willie Stargell
181,Hycomine-S Pediatric 82
182,Hyperab
183,Carl E. Walz
184,Der Überfall
185,Kyrgyzstan
186,Mary Lou Williams
187,Kaiser Wilhelm II
188,Sparkle and Charm
189,Anne Frank
190,Salsa
191,Bitva o zivot
192,Telecom Argentina
193,Marshall Hall
194,"Bears Stearns & Co, Inc."
195,Quernmore
196,Hayfebrol 15
197,Wetherill Park
198,Norsk Hydro A S
199,Lusty Latin Ladies
200,Peter Sylow
201,Dexotic
202,Eila Pennanen
203,Claude Simon
204,Rodenbach
205,Tod im Tunnel
206,Growing Down in Brooklyn
207,Princess
208,Johann Faulhaber
209,Edmund Landau
210,Plantronics Inc.
211,Wilnis
212,Lège-Cap-Ferret
213,Fort Sable
214,James Patterson
215,Francisco de Goya
216,Bank Utd Houston Tex
217,24/7 31: Snooper Man
218,Joseph Priestley
219,Bayeux
220,Ralph Fiennes
221,K-G Elixir
222,Gang Bang Angels 10
223,Stephen IX
224,"Tex, the Passive-Aggressive Gunslinger"
225,Sulfamylon
226,Talisman Energy 8.90% PR06/15/48 ( TLMPRB)
227,La Ville est tranquille
228,Hooded Angels
229,Dykk i arkivet
230,Fluanxol
231,Inflamase Mild
232,Amicar
233,Anthrascalp
234,Ashcroft
235,Dortmund
236,Ernesto Cesàro
237,Immanuel Kant
238,Lover or Loser
239,Le Battement d'ailes du papillon
240,Vallon-Pont-d'Arc
241,Magnalox
242,Donatello
243,Ewan McGregor
244,Morgan Stanley Dean Witter.
245,Xalatan
246,John B. Herrington
247,Den Højeste straf
248,John VII
249,Chita
250,Leyland
251,Henri La Fontaine
252,XTRA Corporation
253,Double Bay
254,Ally McFeal
255,Continental Airlines Inc.
256,Percy MacMahon
257,Helmerich & Payne Inc.
258,ModiCon
259,Maurice Wilkins
260,Chateau Communities Inc.
261,ISOLA: Multiple Personality Girl
262,The Captive
263,Ray Dandridge
264,Charles Lyell
265,Billy Bob Thornton
266,Pokemon Ieruka neo?
267,Mbna Cap C
268,Villa-Lobos: A Life of Passion
269,Llansteffan
270,One True Love
271,Westmead
272,Cloud Nine
