id,type
0,place
1,person
2,drug
3,drug
4,person
5,person
6,movie
7,movie
8,person
9,movie
10,movie
11,place
12,movie
13,place
14,movie
15,company
16,movie
17,person
18,place
19,movie
20,place
21,movie
22,drug
23,place
24,movie
25,person
26,movie
27,person
28,drug
29,movie
30,drug
31,person
32,person
33,drug
34,place
35,movie
36,drug
37,drug
38,place
39,company
40,drug
41,movie
42,movie
43,person
44,drug
45,drug
46,company
47,person
48,place
49,person
50,person
51,person
52,company
53,person
54,person
55,place
56,drug
57,person
58,movie
59,movie
60,drug
61,person
62,movie
63,movie
64,drug
65,place
66,person
67,person
68,movie
69,place
70,movie
71,drug
72,movie
73,drug
74,drug
75,person
76,drug
77,movie
78,person
79,person
80,drug
81,drug
82,movie
83,company
84,drug
85,drug
86,drug
87,person
88,place
89,person
90,company
91,person
92,movie
93,movie
94,movie
95,company
96,place
97,drug
98,drug
99,drug
100,drug
101,person
102,drug
103,movie
104,place
105,person
106,company
107,drug
108,company
109,person
110,movie
111,drug
112,drug
113,movie
114,movie
115,place
116,movie
117,place
118,movie
119,place
120,place
121,movie
122,movie
123,movie
124,person
125,drug
126,company
127,movie
128,place
129,movie
130,drug
131,drug
132,person
133,drug
134,drug
135,movie
136,company
137,drug
138,company
139,movie
140,person
141,person
142,person
143,person
144,movie
145,person
146,movie
147,drug
148,company
149,person
150,drug
151,drug
152,person
153,person
154,movie
155,movie
156,movie
157,drug
158,place
159,drug
160,place
161,place
162,movie
163,person
164,movie
165,drug
166,movie
167,company
168,movie
169,movie
170,person
171,person
172,place
173,drug
174,place
175,person
176,place
177,drug
178,company
179,movie
180,person
181,drug
182,drug
183,person
184,movie
185,place
186,person
187,person
188,movie
189,person
190,movie
191,movie
192,company
193,person
194,company
195,place
196,drug
197,place
198,company
199,movie
200,person
201,drug
202,person
203,person
204,place
205,movie
206,movie
207,movie
208,person
209,person
210,company
211,place
212,place
213,movie
214,person
215,person
216,company
217,movie
218,person
219,place
220,person
221,drug
222,movie
223,person
224,movie
225,drug
226,company
227,movie
228,movie
229,movie
230,drug
231,drug
232,drug
233,drug
234,place
235,place
236,person
237,person
238,movie
239,movie
240,place
241,drug
242,person
243,person
244,company
245,drug
246,person
247,movie
248,person
249,place
250,place
251,person
252,company
253,place
254,movie
255,company
256,person
257,company
258,drug
259,person
260,company
261,movie
262,movie
263,person
264,person
265,person
266,movie
267,company
268,movie
269,place
270,movie
271,place
272,movie
273,movie
274,movie
275,drug
276,movie
277,drug
278,person
279,person
280,movie
281,movie
282,movie
283,movie
284,person
285,movie
286,drug
287,drug
288,drug
289,movie
290,drug
291,movie
292,drug
293,drug
294,drug
295,place
296,movie
297,movie
298,place
299,movie
300,movie
301,movie
302,person
303,person
304,movie
305,place
306,person
307,movie
308,person
309,movie
310,person
311,drug
312,company
313,drug
314,movie
315,drug
316,person
317,person
318,drug
319,person
320,drug
321,person
322,drug
323,drug
324,company
325,company
326,company
327,drug
328,place
329,drug
330,drug
331,person
332,movie
333,movie
334,drug
335,movie
336,person
337,company
338,person
339,drug
340,drug
341,drug
342,drug
343,movie
344,person
345,company
346,company
347,movie
348,movie
349,movie
350,movie
351,movie
352,place
353,company
354,movie
355,place
356,drug
357,company
358,person
359,company
360,person
361,movie
362,place
363,person
364,place
365,place
366,drug
367,drug
368,movie
369,place
370,drug
371,place
372,drug
373,drug
374,drug
375,company
376,drug
377,drug
378,movie
379,person
380,place
381,place
382,place
383,place
384,company
385,company
386,drug
387,person
388,drug
389,movie
390,person
391,movie
392,person
393,person
394,movie
395,place
396,person
397,movie
398,drug
399,place
400,person
401,person
402,person
403,drug
404,person
405,company
406,movie
407,movie
408,drug
409,person
410,place
411,company
412,drug
413,drug
414,movie
415,movie
416,movie
417,drug
418,movie
419,person
420,person
421,place
422,movie
423,movie
424,company
425,movie
426,place
427,place
428,person
429,movie
430,person
431,person
432,movie
433,movie
434,person
435,place
436,drug
437,movie
438,movie
439,place
440,place
441,movie
442,movie
443,person
444,place
445,movie
446,movie
447,company
448,drug
449,movie
450,company
451,drug
452,movie
453,movie
454,movie
455,company
456,movie
457,person
458,company
459,movie
460,place
461,movie
462,person
463,movie
464,movie
465,place
466,movie
467,drug
468,movie
469,company
470,company
471,movie
472,place
473,company
474,drug
475,drug
476,person
477,drug
478,drug
479,movie
480,company
481,movie
482,drug
483,movie
484,movie
485,drug
486,movie
487,company
488,movie
489,person
490,movie
491,drug
492,person
493,company
494,drug
495,movie
496,person
497,drug
498,movie
499,movie
500,movie
501,movie
502,drug
503,movie
504,company
505,person
506,movie
507,movie
508,movie
509,person
510,place
511,drug
512,place
513,drug
514,drug
515,drug
516,place
517,place
518,person
519,movie
520,company
521,place
522,movie
523,movie
524,movie
525,person
526,drug
527,drug
528,drug
529,movie
530,place
531,drug
532,company
533,person
534,drug
535,movie
536,place
537,person
538,drug
539,person
540,place
541,place
542,movie
543,person
544,person
545,place
546,company
547,person
548,company
549,movie
550,movie
551,company
552,drug
553,person
554,company
555,person
556,person
557,movie
558,company
559,drug
560,place
561,place
562,movie
563,movie
564,drug
565,person
566,drug
567,drug
568,drug
569,movie
570,person
571,person
572,place
573,movie
574,drug
575,movie
576,movie
577,company
578,person
579,place
580,drug
581,place
582,person
583,drug
584,drug
585,drug
586,drug
587,person
588,movie
589,company
590,company
591,person
592,person
593,movie
594,drug
595,place
596,person
597,place
598,drug
599,movie
600,person
601,company
602,person
603,movie
604,movie
605,movie
606,drug
607,place
608,company
609,movie
610,drug
611,drug
612,person
613,movie
614,person
615,company
616,place
617,place
618,person
619,company
620,place
621,company
622,drug
623,drug
624,movie
625,place
626,movie
627,place
628,company
629,movie
